Data Element,Category,Purpose,Legal Basis,Storage Location,Encryption,Retention Period,Access Control,Third Parties,Data Source
appointments.urgency,Special Category (Health Data),Emergency detection and triage,"Art. 9(2)(h) healthcare provision, Art. 6(1)(d) vital interests",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; role: dentist/assistant/admin,"ElevenLabs (AI extraction during call)",Phone call AI emergency detection
appointments.reason,Special Category (Health Data),Clinical context for appointment,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; role: dentist/assistant/admin,"ElevenLabs (AI extraction during call)","Phone call AI, WhatsApp, web portal"
appointments.notes,Special Category (Health Data),Clinical notes and observations,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; role: dentist/assistant,None,Staff clinical entry
appointments.ai_summary,Special Category (Health Data),AI-generated summary of patient call/interaction,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from appointment date,RLS: business-scoped; role: dentist/assistant/admin,ElevenLabs (generated during AI call),Phone call AI processing
messages.content,Confidential,Patient-staff communication,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,5 years from message date,RLS: business-scoped; sender and recipient only,None,"In-app messaging, WhatsApp relay"
messages.sender_id,Pseudonymised Reference,Message attribution,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,5 years from message date,RLS: business-scoped; sender and recipient only,None,System-generated
prescriptions.patient_id,Pseudonymised Reference,Link prescription to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from prescription date,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
prescriptions.medication_name,Special Category (Health Data),Medication tracking and clinical records,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from prescription date,RLS: business-scoped; role: dentist/assistant,None,Dentist clinical entry
prescriptions.dosage,Special Category (Health Data),Safe medication administration,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from prescription date,RLS: business-scoped; role: dentist/assistant,None,Dentist clinical entry
prescriptions.frequency,Special Category (Health Data),Safe medication administration,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from prescription date,RLS: business-scoped; role: dentist/assistant,None,Dentist clinical entry
treatment_plans.patient_id,Pseudonymised Reference,Link treatment plan to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from plan creation,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
treatment_plans.title,Special Category (Health Data),Treatment identification,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from plan creation,RLS: business-scoped; role: dentist/assistant,None,Dentist clinical entry
treatment_plans.description,Special Category (Health Data),Detailed treatment specification,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from plan creation,RLS: business-scoped; role: dentist/assistant,None,Dentist clinical entry
treatment_plans.diagnosis,Special Category (Health Data),Clinical diagnosis record,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from plan creation,RLS: business-scoped; role: dentist only,None,Dentist clinical entry
patient_notes.patient_id,Pseudonymised Reference,Link note to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from note creation,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
patient_notes.content,Special Category (Health Data),Clinical observations and notes,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from note creation,RLS: business-scoped; role: dentist/assistant,None,Staff clinical entry
patient_notes.note_type,Operational Data,Note classification (clinical/administrative/follow-up),"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years from note creation,RLS: business-scoped; role: dentist/assistant,None,Staff entry
medical_records.patient_id,Pseudonymised Reference,Link medical record to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years (30 years Belgian medical retention),RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
consent_records.patient_id,Pseudonymised Reference,Link consent to patient,"Art. 6(1)(a) consent, Art. 7 conditions for consent",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Duration of consent + 5 years after withdrawal,RLS: business-scoped; role: admin/owner/DPO,None,System-generated (foreign key)
consent_records.scope,Operational Data,Define scope of consent granted,"Art. 6(1)(a) consent",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Duration of consent + 5 years after withdrawal,RLS: business-scoped; role: admin/owner/DPO,None,"Web portal checkbox, phone call verbal consent"
consent_records.status,Operational Data,Track active/withdrawn consent status,"Art. 6(1)(a) consent, Art. 7(3) right to withdraw",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Duration of consent + 5 years after withdrawal,RLS: business-scoped; role: admin/owner/DPO,None,Patient action or staff update
consent_records.granted_at,Operational Data,Timestamp of consent grant for audit trail,"Art. 6(1)(a) consent, Art. 7(1) demonstration of consent",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Duration of consent + 5 years after withdrawal,RLS: business-scoped; role: admin/owner/DPO,None,System-generated timestamp
consent_records.withdrawn_at,Operational Data,Timestamp of consent withdrawal for audit trail,"Art. 7(3) right to withdraw consent",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Duration of consent + 5 years after withdrawal,RLS: business-scoped; role: admin/owner/DPO,None,System-generated timestamp
gdpr_requests.patient_id,Pseudonymised Reference,Link GDPR request to data subject,"Art. 12-23 data subject rights",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Request lifetime + 5 years,RLS: business-scoped; role: admin/owner/DPO,None,System-generated (foreign key)
gdpr_requests.type,Operational Data,Classify GDPR request (access/erasure/portability/rectification),"Art. 12-23 data subject rights",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Request lifetime + 5 years,RLS: business-scoped; role: admin/owner/DPO,None,Patient request
gdpr_requests.status,Operational Data,Track GDPR request processing status,"Art. 12(3) response timeline",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Request lifetime + 5 years,RLS: business-scoped; role: admin/owner/DPO,None,Staff processing updates
gdpr_requests.submitted_at,Operational Data,Request submission timestamp for SLA tracking,"Art. 12(3) one-month response deadline",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Request lifetime + 5 years,RLS: business-scoped; role: admin/owner/DPO,None,System-generated timestamp
gdpr_requests.due_at,Operational Data,Response deadline calculation,"Art. 12(3) one-month response deadline",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Request lifetime + 5 years,RLS: business-scoped; role: admin/owner/DPO,None,System-calculated (submitted_at + 30 days)
gdpr_audit_log.actor_id,Pseudonymised Reference,Identify who performed the action,"Art. 5(2) accountability, Art. 30 records of processing",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System-generated from JWT
gdpr_audit_log.action,Operational Data,Record what action was performed,"Art. 5(2) accountability",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System-generated trigger
gdpr_audit_log.entity_type,Operational Data,Record which entity type was affected,"Art. 5(2) accountability",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System-generated trigger
gdpr_audit_log.patient_id,Pseudonymised Reference,Link audit entry to affected patient,"Art. 5(2) accountability",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System-generated trigger
gdpr_audit_log.before_data,Special Category (potential Health Data),Record state before change for audit trail,"Art. 5(2) accountability",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System-generated trigger (snapshot)
gdpr_audit_log.after_data,Special Category (potential Health Data),Record state after change for audit trail,"Art. 5(2) accountability",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System-generated trigger (snapshot)
breach_incidents.title,Operational Data,Identify and describe security breach,"Art. 33 notification to supervisory authority",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,Staff incident report
breach_incidents.severity,Operational Data,Classify breach severity for response prioritization,"Art. 33-34 breach notification requirements",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,Staff assessment
breach_incidents.status,Operational Data,Track breach investigation and resolution status,"Art. 33(5) documentation requirement",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,Staff processing updates
breach_incidents.affected_records_count,Operational Data,Quantify breach impact for notification assessment,"Art. 33(3)(a) categories and number of data subjects",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years,RLS: role: admin/owner/DPO only,None,System count or staff estimate
vendor_registry.name,Internal Data,Identify third-party data processor,"Art. 28 processor requirements, Art. 30 records",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Current + 3 years after offboarding,RLS: role: admin/owner/DPO only,None,Administrative entry
vendor_registry.purpose,Internal Data,Document purpose of data sharing with vendor,"Art. 28(3) processor contract requirements",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Current + 3 years after offboarding,RLS: role: admin/owner/DPO only,None,Administrative entry
vendor_registry.data_categories,Internal Data,Document categories of data shared with vendor,"Art. 28(3) processor contract requirements",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Current + 3 years after offboarding,RLS: role: admin/owner/DPO only,None,Administrative entry
vendor_registry.region,Internal Data,Document processing location for transfer assessment,"Art. 44-49 international transfers",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Current + 3 years after offboarding,RLS: role: admin/owner/DPO only,None,Administrative entry
vendor_registry.has_dpa,Internal Data,Track DPA execution status per vendor,"Art. 28(3) written processor agreement",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Current + 3 years after offboarding,RLS: role: admin/owner/DPO only,None,Administrative entry
business_encryption_keys.business_id,Internal Reference,Link encryption key to business tenant,"Art. 32(1)(a) encryption",Supabase PostgreSQL (eu-central-1),AES-256 at rest + application-level protection,Annual rotation; old keys archived 1 year,RLS: system-level access only (no user access),None,System-generated
business_encryption_keys.encryption_details,Critical Security Data,Per-tenant encryption key material,"Art. 32(1)(a) encryption",Supabase PostgreSQL (eu-central-1),AES-256 at rest + application-level envelope encryption,Annual rotation; old keys archived 1 year,RLS: system-level access only (no user access),None,System-generated
phone_usage.call_duration,Operational Data,Usage tracking and billing for phone features,"Art. 6(1)(b) contract performance, Art. 6(1)(f) legitimate interest",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner,None,Twilio call metadata
phone_usage.business_id,Internal Reference,Link phone usage to business tenant,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner,None,System-generated
elevenlabs_agents.agent_config,Internal Data,AI voice agent configuration,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Duration of agent configuration,RLS: business-scoped; role: admin/owner,ElevenLabs (agent deployment),Administrative configuration
sms_notifications.phone_number,Personal Data (PII),SMS delivery to patient,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner/staff,Twilio (SMS delivery),Patient record (patients.phone)
sms_notifications.status,Operational Data,Track SMS delivery status,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner/staff,Twilio (delivery receipt),Twilio webhook callback
sms_notifications.sent_at,Operational Data,Timestamp of SMS send for audit,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner/staff,None,System-generated timestamp
email_event_logs.email_address,Personal Data (PII),Track email delivery to patient,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner/staff,Email delivery provider,Patient record (patients.email)
email_event_logs.status,Operational Data,Track email delivery status,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner/staff,Email delivery provider (webhook),Email provider callback
email_event_logs.sent_at,Operational Data,Timestamp of email send for audit,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,2 years,RLS: business-scoped; role: admin/owner/staff,None,System-generated timestamp
communication_logs.direction,Operational Data,Track inbound/outbound communication flow,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,3 years,RLS: business-scoped; role: admin/owner/staff,None,System-generated
communication_logs.channel,Operational Data,Record communication channel (phone/sms/email/whatsapp),"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,3 years,RLS: business-scoped; role: admin/owner/staff,None,System-generated
communication_logs.content_summary,Confidential (potential PII),Summarized content of communication for reference,"Art. 6(1)(b) contract performance, Art. 9(2)(h) healthcare",Supabase PostgreSQL (eu-central-1),AES-256 at rest,3 years,RLS: business-scoped; role: dentist/assistant/admin,None,"AI-generated summary, staff entry"
patient_documents.file_path,Internal Reference,Reference to stored document file,"Art. 9(2)(h) healthcare provision",Supabase Storage (eu-central-1),AES-256 at rest (S3 SSE),10 years,RLS: business-scoped; role: dentist/assistant/admin,None,System-generated (storage path)
patient_documents.document_type,Operational Data,Classify document (xray/scan/consent/report),"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant/admin,None,Staff upload metadata
patient_documents.uploaded_by,Internal Reference,Audit trail for document upload,"Art. 5(2) accountability",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant/admin,None,System-generated from JWT
patient_allergies.patient_id,Pseudonymised Reference,Link allergy record to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
patient_allergies.allergy_details,Special Category (Health Data),Record patient allergies for safe treatment,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,"Staff clinical entry, patient self-report"
vital_signs.patient_id,Pseudonymised Reference,Link vital signs to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
vital_signs.measurements,Special Category (Health Data),Record patient vital signs for clinical use,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,Staff clinical entry
lab_results.patient_id,Pseudonymised Reference,Link lab results to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
lab_results.results,Special Category (Health Data),Record laboratory test results,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,"Lab integration, staff entry"
dental_chart_data.patient_id,Pseudonymised Reference,Link dental chart to patient,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,System-generated (foreign key)
dental_chart_data.tooth_data,Special Category (Health Data),Record per-tooth clinical status and history,"Art. 9(2)(h) healthcare provision",Supabase PostgreSQL (eu-central-1),AES-256 at rest,10 years,RLS: business-scoped; role: dentist/assistant,None,Dentist clinical entry
inventory_items.item_name,Internal Data,Track dental practice inventory,"Art. 6(1)(f) legitimate interest (business operations)",Supabase PostgreSQL (eu-central-1),AES-256 at rest,3 years after item deactivation,RLS: business-scoped; role: admin/owner/staff,None,Staff inventory management
inventory_items.quantity,Internal Data,Track stock levels,"Art. 6(1)(f) legitimate interest (business operations)",Supabase PostgreSQL (eu-central-1),AES-256 at rest,3 years after item deactivation,RLS: business-scoped; role: admin/owner/staff,None,Staff inventory management
payment_requests.patient_id,Pseudonymised Reference,Link payment to patient for billing,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years (Belgian accounting law),RLS: business-scoped; role: admin/owner/billing staff,Stripe (payment processing via tokenized reference),System-generated (foreign key)
payment_requests.amount,Financial Data,Record payment amount for billing and accounting,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years (Belgian accounting law),RLS: business-scoped; role: admin/owner/billing staff,Stripe (payment processing),Staff billing entry
payment_requests.status,Operational Data,Track payment lifecycle,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,7 years (Belgian accounting law),RLS: business-scoped; role: admin/owner/billing staff,Stripe (webhook status updates),Stripe webhook callback
subscription_plans.plan_name,Public Data,Define available subscription tiers,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Indefinite,Public read; admin write,None,Administrative configuration
subscription_plans.price,Public Data,Display subscription pricing,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Indefinite,Public read; admin write,Stripe (price sync),Administrative configuration
subscriptions.business_id,Internal Reference,Link subscription to business tenant,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Subscription duration + 7 years,RLS: business owner/admin only,Stripe (subscription management),Stripe checkout flow
subscriptions.status,Operational Data,Track subscription lifecycle (active/cancelled/past_due),"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Subscription duration + 7 years,RLS: business owner/admin only,Stripe (webhook status updates),Stripe webhook callback
subscriptions.stripe_customer_id,External Reference,Link to Stripe customer for payment processing,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Subscription duration + 7 years,RLS: business owner/admin only,Stripe,Stripe checkout flow
profiles.user_id,Personal Data (PII),Staff/user identification and authentication,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Account lifetime + 2 years,RLS: own profile + admin of same business,None,Supabase Auth registration
profiles.email,Personal Data (PII),Staff communication and login,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Account lifetime + 2 years,RLS: own profile + admin of same business,None,Registration form
profiles.full_name,Personal Data (PII),Staff identification within practice,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Account lifetime + 2 years,RLS: own profile + business members can view,None,Registration form
profiles.avatar_url,Personal Data (PII),Staff profile display,"Art. 6(1)(a) consent",Supabase Storage (eu-central-1),AES-256 at rest,Account lifetime + 2 years,RLS: own profile + business members can view,None,Staff upload
profiles.role,Internal Data,Role-based access control,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Account lifetime + 2 years,RLS: admin/owner can manage; own profile read,None,Admin assignment
business_members.profile_id,Internal Reference,Link user to business membership,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Membership duration + 2 years,RLS: business-scoped; admin/owner manage,None,Admin assignment
business_members.business_id,Internal Reference,Multi-tenant membership mapping,"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Membership duration + 2 years,RLS: business-scoped; admin/owner manage,None,Admin assignment
business_members.role,Internal Data,Role within specific business (owner/admin/dentist/assistant/staff),"Art. 6(1)(b) contract performance",Supabase PostgreSQL (eu-central-1),AES-256 at rest,Membership duration + 2 years,RLS: business-scoped; admin/owner manage,None,Admin assignment
